,cluster
0,0
1,0
2,15
3,14
4,8
5,16
6,9
7,16
8,8
9,9
10,9
11,5
12,0
13,14
14,6
15,8
16,16
17,0
18,0
19,3
20,9
21,13
22,7
23,7
24,9
25,0
26,0
27,8
28,5
29,12
30,9
31,4
32,7
33,0
34,0
35,12
36,9
37,0
38,15
39,12
40,15
41,9
42,0
43,3
44,0
45,8
46,0
47,0
48,8
49,10
50,5
51,12
52,15
53,6
54,3
55,3
56,13
57,12
58,12
59,7
60,7
61,4
62,7
63,1
64,14
65,12
66,3
67,12
68,3
69,9
70,0
71,0
72,1
73,1
74,0
75,0
76,10
77,15
78,0
79,8
80,12
81,8
82,14
83,0
84,8
85,10
86,12
87,10
88,0
89,3
90,0
91,9
92,6
93,7
94,9
95,7
96,7
97,8
98,0
99,0
100,15
101,4
102,7
103,5
104,0
105,13
106,3
107,9
108,14
109,8
110,10
111,2
112,7
113,14
114,4
115,4
116,4
117,4
118,3
119,3
120,0
121,6
122,4
123,4
124,0
125,1
126,6
127,0
128,8
129,10
130,14
131,16
132,15
133,0
134,0
135,14
136,6
137,0
138,0
139,5
140,9
141,10
142,14
143,10
144,0
145,10
146,12
147,12
148,4
149,9
150,0
151,1
152,0
153,0
154,7
155,15
156,3
157,16
158,4
159,12
160,4
161,4
162,3
163,7
164,0
165,8
166,4
167,3
168,13
169,12
170,4
171,7
172,2
173,0
174,12
175,13
176,8
177,0
178,0
179,1
180,3
181,3
182,6
183,3
184,0
185,4
186,2
187,0
188,1
189,0
190,0
191,16
192,1
193,6
194,1
195,1
196,0
197,13
198,11
199,0
200,1
201,1
202,9
203,5
204,13
205,0
206,5
207,13
208,0
209,1
210,0
211,3
212,12
213,0
214,3
215,3
216,3
217,1
218,3
219,3
220,12
221,1
222,6
223,0
224,4
225,12
226,3
227,0
228,0
229,8
230,1
231,15
232,15
233,3
234,0
235,0
236,3
237,1
238,1
239,3
240,1
241,7
242,3
243,6
244,3
245,1
246,12
247,9
248,6
249,2
250,3
251,0
252,0
253,4
254,15
255,16
256,9
257,4
258,0
259,1
260,10
261,14
262,0
263,8
264,0
265,16
266,0
267,10
268,10
269,1
270,0
271,15
272,5
273,4
274,4
275,15
276,9
277,14
278,9
279,1
280,9
281,14
282,0
283,15
284,15
285,2
286,13
287,9
288,5
289,0
290,10
291,5
292,0
293,15
294,12
295,13
296,0
297,2
298,4
299,0
300,5
301,0
302,0
303,0
304,1
305,1
306,5
307,1
308,13
309,11
310,0
311,0
312,0
313,16
314,3
315,2
316,14
317,0
318,16
319,8
320,0
321,16
322,1
323,5
324,0
325,1
326,9
327,14
328,0
329,0
330,1
331,2
332,16
333,14
334,9
335,8
336,0
337,0
338,8
339,0
340,1
341,4
342,2
343,1
344,1
345,1
346,0
347,16
348,11
349,0
350,0
351,9
352,15
353,2
354,0
355,0
356,0
357,0
358,5
359,2
360,0
361,3
362,9
363,13
364,3
365,0
366,11
367,10
368,1
369,10
370,4
371,5
372,0
373,12
374,0
375,15
376,0
377,1
378,16
379,16
380,1
381,1
382,1
383,5
384,0
385,15
386,4
387,0
388,2
389,0
390,1
391,1
392,2
393,1
394,14
395,16
396,9
397,9
398,9
399,0
400,15
401,12
402,0
403,5
404,1
405,0
406,16
407,7
408,14
409,2
410,15
411,0
412,0
413,0
414,10
415,0
416,1
417,13
418,9
419,7
420,4
421,2
422,9
423,1
424,16
425,0
426,1
427,2
428,15
429,9
430,0
431,0
432,12
433,14
434,11
435,8
436,3
437,7
438,2
439,6
440,9
441,0
442,1
443,2
444,0
445,9
446,1
447,4
448,1
449,16
450,1
451,0
452,1
453,6
454,3
455,8
456,0
457,16
458,1
459,0
460,0
461,2
462,13
463,0
464,16
465,11
466,0
467,7
468,8
469,14
470,2
471,1
472,5
473,9
474,14
475,4
476,11
477,16
478,0
479,6
480,5
481,10
482,0
483,2
484,14
485,8
486,1
487,7
488,10
489,11
490,4
491,1
492,0
493,2
494,0
495,1
496,16
497,6
498,4
499,3
500,0
501,6
502,5
503,6
504,11
505,0
506,6
507,3
508,13
509,13
510,13
511,11
512,1
513,2
514,13
515,0
516,9
517,9
518,0
519,2
520,15
521,5
522,0
523,2
524,11
525,0
526,3
527,9
528,1
529,0
530,0
531,3
532,0
533,0
534,16
535,3
536,6
537,0
538,11
539,9
540,0
541,4
542,11
543,12
544,0
545,14
546,11
547,6
548,0
549,13
550,0
551,7
552,10
553,4
554,1
555,0
556,0
557,10
558,9
559,0
560,1
561,2
562,3
563,12
564,3
565,1
566,0
567,15
568,3
569,15
570,2
571,0
572,0
573,12
574,4
575,4
576,0
577,16
578,1
579,0
580,0
581,0
582,1
583,1
584,1
585,0
586,3
587,4
588,0
589,2
590,0
591,4
592,1
593,13
594,0
595,1
596,15
597,5
598,0
599,3
600,16
601,3
602,11
603,0
604,3
605,8
606,3
607,2
608,8
609,6
610,14
611,3
612,12
613,8
614,10
615,1
616,0
617,2
618,1
619,0
620,6
621,2
622,0
623,2
624,1
625,9
626,5
627,9
628,1
629,8
630,7
631,0
632,1
633,0
634,0
635,3
636,0
637,8
638,0
639,1
640,1
641,0
642,14
643,2
644,5
645,16
646,0
647,1
648,0
649,4
650,2
651,0
652,9
653,0
654,13
655,12
656,12
657,4
658,0
659,14
660,7
661,1
662,1
663,14
664,8
665,2
666,7
667,6
668,0
669,7
670,0
671,7
672,14
673,12
674,8
675,1
676,16
677,3
678,10
679,13
680,0
681,5
682,9
683,16
684,3
685,11
686,9
687,12
688,4
689,1
690,4
691,2
692,3
693,2
694,1
695,0
696,5
697,5
698,12
699,0
700,14
701,4
702,0
703,0
704,0
705,0
706,0
707,0
708,0
709,0
710,0
711,0
712,0
713,0
714,12
715,7
716,8
717,13
718,16
719,12
720,6
721,6
722,6
723,14
725,4
726,0
727,0
728,15
729,1
730,3
731,2
732,12
733,4
734,1
735,10
736,11
737,4
738,4
739,0
740,11
741,0
742,11
743,16
744,0
745,14
746,11
747,5
748,1
749,11
750,2
751,0
752,2
753,4
754,3
755,5
756,14
757,7
758,2
759,2
760,0
761,10
762,0
763,14
764,2
765,8
766,1
767,13
768,0
769,10
770,13
771,14
772,2
773,4
774,2
775,13
776,3
777,5
778,9
779,8
780,0
781,0
782,9
783,15
784,9
785,5
786,2
787,1
788,0
789,7
790,12
791,3
792,1
793,12
794,15
795,0
796,11
797,9
798,3
799,9
800,15
801,15
802,3
803,3
804,10
805,6
806,10
807,2
808,14
809,5
810,0
811,1
812,6
813,2
814,8
815,1
816,0
817,2
818,5
819,13
820,13
821,3
822,12
823,8
824,9
825,12
826,0
827,8
828,2
829,16
830,16
831,4
832,3
833,5
834,5
835,0
836,6
837,10
838,5
839,6
840,2
841,3
842,3
843,3
844,5
845,15
846,10
847,3
848,10
849,14
850,5
851,12
852,4
853,3
854,3
855,8
856,16
857,11
858,10
859,6
860,4
861,9
862,4
863,4
864,12
865,16
866,5
867,0
868,1
869,4
870,12
871,9
872,3
873,3
874,7
875,11
876,3
877,1
878,0
879,0
880,4
881,12
882,1
883,0
884,15
885,1
886,2
887,2
888,0
889,2
890,0
891,8
892,14
893,2
894,2
895,8
896,16
897,13
898,10
899,1
900,1
901,12
902,15
903,5
904,15
905,2
906,0
907,12
908,5
909,2
910,2
911,4
912,10
913,4
914,4
915,9
916,10
917,1
918,4
919,8
920,3
921,1
922,4
923,4
924,4
925,13
926,10
927,3
928,10
929,12
930,9
931,3
932,14
933,6
934,12
935,2
936,6
937,5
938,12
939,15
940,3
941,0
942,10
943,0
944,10
945,2
946,11
947,15
948,14
949,4
950,14
951,4
952,4
953,7
954,0
955,15
956,8
957,0
958,16
959,4
960,5
961,16
962,0
963,0
964,13
965,2
966,2
967,9
968,0
969,2
970,3
971,0
972,0
973,0
974,0
975,5
976,7
977,9
978,1
979,5
980,4
982,0
983,3
984,2
985,4
986,4
987,10
988,3
989,16
990,3
991,16
992,4
993,7
994,10
995,5
996,2
997,7
998,14
999,12
1000,5
1001,5
1002,2
1003,3
1004,0
1005,8
1006,0
1007,0
1008,0
1009,2
1010,12
1011,2
1012,14
1013,5
1014,7
1015,12
1016,12
1017,0
1018,12
1019,16
1020,15
1021,16
1022,11
1023,16
1024,11
1025,0
1026,12
1027,7
1028,12
1029,7
1030,5
1031,6
1032,12
1033,3
1034,11
1035,5
1036,8
1037,10
1038,2
1039,4
1040,16
1041,11
1042,3
1043,5
1044,15
1045,4
1046,4
1047,4
1048,9
1049,0
1050,5
1051,4
1052,15
1053,16
1054,0
1055,9
1056,9
1057,14
1058,12
1059,2
1060,16
1061,4
1062,3
1063,9
1064,12
1065,1
1066,9
1067,8
1068,5
1069,3
1070,16
1071,5
1072,3
1073,15
1074,3
1075,14
1076,16
1077,14
1078,0
1079,0
1080,13
1081,2
1082,0
1083,8
1084,0
1085,8
1086,16
1087,2
1088,3
1089,2
1090,0
1091,16
1092,4
1093,4
1094,4
1095,0
1096,13
1097,5
1098,4
1099,16
1100,4
1101,4
1102,3
1103,7
1104,7
1105,14
1106,16
1107,10
1108,6
1109,9
1110,4
1111,10
1112,12
1113,15
1114,13
1115,16
1116,14
1117,16
1118,3
1119,4
1120,9
1121,16
1122,15
1123,0
1124,16
1125,16
1126,2
1127,1
1128,2
1129,0
1130,0
1131,4
1132,12
1133,1
1134,4
1135,8
1136,4
1137,3
1138,4
1139,13
1140,5
1141,4
1142,16
1143,10
1144,1
1145,1
1146,2
1147,8
1148,5
1149,11
1150,13
1151,4
1152,13
1153,11
1154,2
1155,11
1156,13
1157,10
1158,3
1159,15
1160,8
1161,0
1162,16
1163,5
1164,12
1165,1
1166,4
1167,7
1168,1
1169,4
1170,5
1171,16
1172,0
1173,4
1174,13
1175,2
1176,0
1177,16
1178,1
1179,0
1180,1
1181,15
1182,3
1183,11
1184,12
1185,9
1186,13
1187,3
1188,1
1189,8
1190,9
1191,16
1192,12
1193,10
1194,3
1195,8
1196,9
1197,16
1198,13
1199,16
1200,4
1201,6
1202,2
1203,2
1204,4
1205,10
1206,16
1207,4
1208,4
1209,3
1210,4
1211,6
1212,4
1213,4
1214,9
1215,4
1216,15
1217,4
1218,10
1219,4
1220,3
1221,4
1222,10
1223,4
1224,8
1225,4
1226,4
1227,4
1228,12
1229,14
1230,10
1231,10
1232,13
1233,3
1234,16
1235,15
1236,10
1237,14
1238,3
1239,5
1240,10
1241,4
1242,10
1243,3
1244,10
1245,2
1246,16
1247,13
1248,9
1249,3
1250,3
1251,16
1252,0
1253,12
1254,14
1255,13
1256,4
1257,12
1258,12
1259,16
1260,7
1261,11
1262,0
1263,11
1264,1
1265,11
1266,7
1267,2
1268,15
1269,11
1270,15
1271,4
1272,3
1273,3
1274,10
1275,1
1276,3
1277,5
1278,2
1279,11
1280,7
1281,1
1282,10
1283,2
1284,13
1285,0
1286,7
1287,12
1288,16
1289,0
1290,16
1291,14
1292,16
1293,14
1294,0
1295,4
1296,16
1297,5
1298,16
1299,11
1300,12
1301,16
1302,16
1303,16
1304,10
1305,4
1306,16
1307,7
1308,9
1309,15
1310,15
1311,9
1312,9
1313,15
1314,12
1315,4
1316,8
1317,4
1318,16
1319,4
1320,1
1321,11
1322,3
1323,11
1324,13
1325,8
1326,1
1327,4
1329,4
1330,4
1331,3
1332,4
1333,5
1334,12
1335,4
1336,11
1337,11
1338,1
1339,0
1340,15
1341,13
1342,6
1343,3
1344,7
1345,16
1346,5
1347,16
1348,7
1349,3
1350,15
1351,12
1352,5
1353,16
1354,6
1355,1
1356,14
1357,0
1358,6
1359,3
1360,12
1361,10
1362,14
1363,1
1364,0
1365,10
1366,16
1367,7
1368,12
1369,5
1370,10
1371,10
1372,9
1373,0
1374,2
1375,1
1376,0
1377,6
1378,11
1379,1
1380,12
1381,2
1382,0
1383,2
1384,1
1385,4
1386,13
1387,7
1388,4
1389,1
1390,16
1391,8
1392,1
1393,1
1394,7
1395,2
1396,5
1397,16
1398,4
1399,13
1400,16
1401,8
1402,4
1403,5
1404,13
1405,13
1406,4
1407,4
1408,1
1409,12
1410,9
1411,0
1413,0
1414,4
1415,11
1416,9
1417,16
1418,16
1419,4
1420,2
1421,16
1422,15
1423,16
1424,8
1425,4
1426,13
1427,1
1428,6
1429,16
1430,14
1431,2
1432,2
1433,6
1434,14
1435,14
1436,6
1437,9
1438,15
1439,1
1440,3
1441,2
1442,13
1443,1
1444,3
1445,12
1446,0
1447,2
1448,5
1449,3
1450,7
1451,4
1452,4
1453,15
1454,7
1455,15
1456,0
1457,0
1458,5
1459,3
1460,13
1461,11
1462,10
1463,15
1464,6
1465,13
1466,0
1467,13
1468,13
1469,0
1470,4
1471,4
1472,11
1473,0
1474,1
1475,4
1476,5
1477,3
1478,4
1479,4
1480,4
1481,4
1482,3
1483,13
1484,2
1485,0
1486,0
1487,1
1488,11
1489,16
1490,16
1491,0
1492,0
1493,12
1494,12
1495,12
1496,11
1497,6
1498,12
1499,6
1500,5
1501,8
1502,10
1503,9
1504,10
1505,7
1506,7
1507,2
1508,16
1510,16
1511,5
1512,4
1513,5
1514,3
1515,1
1516,4
1517,5
1518,3
1519,12
1520,13
1521,0
1522,2
1523,5
1524,9
1525,2
1526,12
1527,5
1528,10
1529,15
1530,0
1531,12
1532,7
1533,7
1534,1
1535,14
1536,1
1537,10
1538,2
1539,5
1540,11
1541,9
1542,3
1543,0
1544,13
1545,6
1546,13
1547,13
1548,6
1549,13
1550,13
1551,3
1552,0
1553,2
1554,4
1555,4
1556,13
1557,3
1558,11
1559,13
1560,2
1561,14
1562,1
1563,8
1564,1
1565,0
1566,14
1567,6
1568,8
1569,8
1570,2
1571,2
1572,4
1573,13
1574,10
1575,12
1576,16
1577,1
1578,0
1579,10
1580,11
1581,3
1582,2
1583,4
1584,4
1585,4
1586,8
1587,14
1588,14
1589,0
1590,7
1591,0
1592,11
1593,2
1594,0
1595,6
1596,0
1597,5
1598,13
1599,2
1600,16
1601,3
1602,15
1603,4
1604,5
1605,3
1606,2
1607,7
1608,0
1609,0
1610,1
1611,12
1612,14
1613,4
1614,8
1615,8
1616,4
1617,12
1618,12
1619,3
1620,8
1621,12
1622,3
1624,0
1625,10
1626,11
1627,13
1628,6
1629,9
1630,6
1631,1
1632,9
1633,1
1634,6
1635,14
1636,2
1637,1
1638,5
1639,4
1640,13
1641,16
1642,16
1643,0
1644,0
1645,0
1646,5
1647,10
1648,5
1649,2
1650,9
1651,14
1652,2
1653,1
1654,0
1655,0
1656,9
1657,2
1659,1
1660,10
1661,10
1662,9
1663,9
1664,8
1665,14
1667,1
1668,0
1669,16
1670,0
1671,2
1672,7
1673,1
1674,13
1675,15
1676,12
1677,0
1679,1
1680,15
1681,11
1682,11
1683,0
1684,6
1685,8
1686,3
1687,5
1688,12
1689,5
1690,1
1691,0
1692,11
1693,11
1694,1
1695,13
1696,13
1697,13
1698,9
1699,1
1700,5
1701,8
1702,12
1703,10
1704,11
1705,10
1706,8
1707,14
1708,14
1709,5
1710,7
1711,2
1712,7
1713,9
1714,11
1715,0
1716,0
1717,13
1718,3
1719,0
1720,10
1721,3
1722,5
1723,5
1724,13
1725,16
1726,11
1727,1
1728,12
1729,6
1730,5
1731,16
1732,8
1733,4
1734,0
1735,3
1736,2
1737,4
1738,3
1739,2
1740,16
1741,6
1742,10
1743,2
1744,2
1745,0
1746,0
1747,9
1748,4
1749,14
1750,15
1751,0
1752,6
1753,16
1754,1
1755,4
1756,4
1757,1
1758,0
1759,1
1760,4
1761,4
1762,5
1763,9
1764,4
1765,12
1766,3
1767,16
1768,1
1769,2
1770,3
1771,16
1772,3
1773,16
1774,7
1775,12
1776,12
1777,9
1778,3
1779,15
1780,16
1781,3
1782,0
1783,13
1784,16
1785,10
1786,8
1787,16
1788,4
1789,0
1790,2
1791,3
1792,13
1793,4
1794,16
1795,6
1796,4
1797,2
1798,4
1799,4
1800,4
1801,4
1802,10
1803,14
1804,3
1805,7
1806,2
1807,1
1808,16
1809,1
1810,3
1811,4
1812,16
1813,4
1814,5
1815,4
1816,12
1817,2
1818,16
1819,8
1820,1
1821,0
1822,0
1823,0
1824,3
1825,8
1826,6
1827,5
1828,12
1829,8
1830,11
1831,0
1832,0
1833,0
1834,6
1835,0
1837,7
1838,1
1839,16
1840,3
1841,2
1842,4
1843,8
1844,15
1845,10
1846,5
1847,9
1848,7
1850,11
1851,1
1852,1
1853,0
1854,16
1855,5
1856,2
1857,2
1858,0
1859,7
1860,16
1861,16
1862,0
1863,0
1864,4
1865,1
1866,1
1868,16
1869,14
1870,4
1871,2
1872,7
1873,12
1874,14
1875,1
1876,11
1877,13
1878,15
1879,15
1880,14
1881,12
1882,5
1883,0
1884,1
1885,16
1886,16
1887,3
1888,2
1889,7
1890,13
1891,0
1892,1
1893,2
1894,8
1895,2
1896,12
1897,7
1898,14
1899,1
1900,3
1901,0
1902,1
1903,0
1904,3
1905,6
1906,16
1907,6
1908,0
1909,6
1910,12
1911,2
1912,7
1913,11
1914,11
1915,10
1916,5
1917,12
1918,12
1919,0
1920,1
1921,2
1922,5
1923,1
1924,14
1925,0
1926,0
1927,15
1928,13
1929,15
1930,0
1931,0
1932,16
1933,4
1934,4
1935,3
1936,5
1937,4
1938,12
1939,0
1940,16
1941,3
1942,2
1943,2
1944,9
1945,10
1946,16
1947,12
1948,0
1949,10
1950,2
1951,7
1952,5
1953,8
1954,2
1955,14
1956,3
1957,3
1958,4
1959,6
1960,4
1961,16
1962,2
1963,0
1964,10
1965,3
1966,16
1967,11
1968,2
1969,7
1970,0
1971,2
1972,2
1973,3
1974,2
1975,7
1976,0
1977,0
1978,10
1979,5
1980,2
1981,1
1982,3
1983,3
1984,0
1985,7
1986,4
1987,5
1988,0
1989,16
1990,14
1991,14
1992,4
1993,14
1994,0
1995,3
1996,13
1997,2
1998,2
1999,1
2000,8
2001,0
2002,6
2003,3
2004,15
2005,2
2006,1
2007,15
2008,0
2009,4
2010,0
2011,5
2012,16
2013,0
2014,13
2016,4
2017,5
2018,7
2019,5
2020,3
2021,6
2022,8
2023,2
2024,0
2025,4
2026,8
2027,2
2028,0
2029,11
2030,0
2031,0
2032,8
2033,0
2034,16
2035,10
2036,5
2037,9
2038,16
2039,12
2040,5
2041,12
2042,2
2043,7
2044,4
2045,1
2046,4
2047,16
2048,0
2049,12
2050,15
2051,3
2052,3
2053,3
2054,13
2055,3
2056,12
2057,0
2058,12
2059,2
2060,7
2061,4
2062,5
2063,14
2064,5
2065,16
2066,5
2067,5
2068,0
2069,8
2070,3
2071,10
2072,2
2073,0
2074,1
2075,3
2076,11
2077,13
2078,0
2079,15
2080,12
2081,4
2082,9
2083,5
2084,5
2085,3
2086,2
2087,12
2088,12
2089,1
2090,6
2091,10
2092,4
2093,3
2094,6
2095,0
2096,9
2097,16
2098,8
2099,2
2100,5
2101,15
2102,11
2103,6
2104,13
2105,2
2106,12
2107,1
2108,13
2109,14
2110,2
2111,16
2112,15
2113,13
2114,10
2115,4
2116,7
2117,2
2118,0
2119,8
2120,5
2121,14
2122,2
2123,8
2124,0
2125,0
2126,2
2127,6
2128,4
2129,0
2130,11
2131,6
2132,6
2133,0
2134,4
2135,8
2136,9
2137,9
2138,5
2139,15
2140,5
2141,3
2142,7
2143,6
2144,6
2145,6
2146,10
2147,10
2148,2
2149,5
2150,14
2151,13
2152,3
2153,2
2154,14
2155,1
2156,10
2157,10
2158,2
2159,1
2160,0
2161,5
2162,0
2163,11
2164,6
2165,4
2166,7
2167,0
2168,7
2169,2
2170,13
2171,1
2172,12
2173,12
2174,6
2175,0
2176,3
2177,3
2178,0
2179,6
2180,0
2181,16
2182,2
2183,16
2184,5
